Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,Risk_Level
34,Non-binary,High School,Married,70807.0,745.0,39572.0,Business,Employed,18,Good,0.43397527425466,130451.0,3.0,South Audrey,MP,Saint Lucia,4.0,0,Alto,0
38,Female,High School,Divorced,99314.0,656.0,17158.0,Personal,Self-employed,8,Excellent,0.12388956809754684,162247.0,4.0,Diazview,GU,Yemen,2.0,1,Medio,2
48,Male,Bachelor's,Single,25465.0,671.0,36672.0,Auto,Self-employed,8,Fair,0.2550030567948225,237546.0,4.0,Markville,PA,Romania,1.0,1,Alto,0
40,Female,High School,Widowed,104766.0,688.0,35808.0,Business,Employed,15,Poor,0.32076831592016786,198067.0,1.0,West Scottshire,MS,Falkland Islands (Malvinas),4.0,1,Alto,0
69,Female,Master's,Divorced,118995.0,787.0,14398.0,Auto,Employed,15,Good,0.4882737268660916,148047.0,0.0,Clarkborough,DE,Bermuda,3.0,1,Alto,0
31,Non-binary,High School,Widowed,63322.0,773.0,8074.0,Business,Employed,5,Fair,0.38146709791248035,267802.0,3.0,Port Michaelmouth,ID,Romania,1.0,0,Bajo,1
43,Female,Master's,Single,34821.0,775.0,22889.0,Personal,Unemployed,18,Good,0.1187215803827614,278194.0,0.0,Lake James,MD,Niue,3.0,2,Alto,0
18,Non-binary,High School,Widowed,99671.0,669.0,30460.0,Personal,Unemployed,18,Poor,0.4338122306863922,25531.0,1.0,Jacquelineborough,MP,Greece,1.0,1,Medio,2
56,Male,High School,Widowed,73953.0,710.0,42364.0,Home,Self-employed,1,Good,0.5557708494787811,152625.0,1.0,North Michael,NY,United States Minor Outlying Islands,2.0,2,Bajo,1
53,Female,PhD,Divorced,88669.0,720.0,17468.0,Home,Self-employed,6,Excellent,0.5759772163134455,199129.0,0.0,West Daniel,NE,Japan,4.0,1,Alto,0
33,Non-binary,Bachelor's,Single,46953.0,627.0,23284.0,Business,Self-employed,7,Good,0.23315271834672555,192563.0,3.0,West Michelle,VA,Monaco,0.0,1,Medio,2
41,Female,High School,Married,89852.0,676.0,27422.0,Home,Self-employed,9,Excellent,0.48627341125604495,205004.0,1.0,Loweryland,VT,Tonga,4.0,0,Alto,0
62,Male,PhD,Divorced,87384.0,606.0,7297.0,Business,Self-employed,4,Good,0.45029338745816605,232491.0,3.0,West Melanieton,MH,Taiwan,0.0,0,Medio,2
32,Female,Bachelor's,Married,78360.0,608.0,47644.0,Home,Unemployed,1,Fair,0.11227619245325607,271432.0,3.0,East Veronica,KY,Tajikistan,4.0,0,Alto,0
30,Non-binary,Master's,Married,55059.0,756.0,7413.0,Personal,Employed,5,Good,0.49480177851498375,29295.0,4.0,Walkerborough,WA,Tunisia,0.0,2,Bajo,1
59,Female,Master's,Married,77564.0,612.0,12357.0,Business,Employed,1,Good,0.4533944976000637,111458.0,0.0,Tylerport,DE,Marshall Islands,2.0,1,Medio,2
66,Male,Master's,Divorced,64764.0,600.0,25486.0,Auto,Employed,17,Good,0.4547958986000804,79556.0,1.0,New Latashabury,AZ,Reunion,1.0,0,Medio,2
32,Female,High School,Widowed,118580.0,636.0,13116.0,Home,Self-employed,7,Fair,0.1207131989379209,267284.0,3.0,Savannahfurt,NC,Mauritius,0.0,1,Medio,2
20,Female,High School,Married,41961.0,612.0,30866.0,Auto,Employed,11,Excellent,0.30016055460716495,294593.0,0.0,Port Kentberg,CO,Brunei Darussalam,2.0,1,Medio,2
35,Female,Master's,Divorced,84766.0,622.0,20645.0,Business,Unemployed,6,Fair,0.5075528820009602,77868.0,3.0,Blackwellchester,AR,Cote d'Ivoire,1.0,1,Medio,2
36,Non-binary,Master's,Divorced,44448.0,631.0,30975.0,Auto,Self-employed,18,Good,0.19427993309037142,130657.0,2.0,South Matthewmouth,MP,Bhutan,3.0,1,Alto,0
68,Female,High School,Single,113923.0,601.0,44653.0,Auto,Employed,1,Good,0.270090608883926,263788.0,2.0,New Lindsay,OH,Mayotte,2.0,2,Medio,2
28,Male,Bachelor's,Single,83969.0,671.0,44332.0,Business,Employed,16,Fair,0.45700939045950595,88597.0,0.0,Julieborough,FM,United States of America,2.0,2,Medio,2
66,Non-binary,PhD,Divorced,111109.0,664.0,16734.0,Auto,Unemployed,0,Fair,0.2011801732877351,246188.0,0.0,Port Frank,RI,Grenada,2.0,2,Medio,2
36,Female,PhD,Widowed,52548.0,766.0,8458.0,Auto,Employed,11,Fair,0.24051325230185536,62171.0,1.0,Simsfurt,WI,Falkland Islands (Malvinas),3.0,1,Alto,0
56,Non-binary,High School,Divorced,36600.0,724.0,26718.0,Business,Unemployed,17,Excellent,0.1792159037823923,34116.0,4.0,Henrystad,PR,Libyan Arab Jamahiriya,4.0,0,Alto,0
46,Male,PhD,Married,37986.0,741.0,5217.0,Personal,Unemployed,11,Excellent,0.24326904035619443,24766.0,4.0,North Stephanie,LA,Saint Lucia,2.0,2,Alto,0
27,Female,Bachelor's,Single,55423.0,785.0,10956.0,Personal,Employed,7,Fair,0.336585399635146,73141.0,4.0,Port Lindseyfort,MO,Saint Kitts and Nevis,1.0,1,Bajo,1
68,Non-binary,High School,Widowed,107151.0,754.0,39626.0,Business,Employed,13,Fair,0.30206620135885154,147103.0,1.0,South Aprilbury,TX,Equatorial Guinea,2.0,2,Bajo,1
54,Male,High School,Married,23794.0,754.0,42272.0,Personal,Unemployed,5,Good,0.534887509417937,273159.0,4.0,Mannmouth,MT,Angola,3.0,2,Alto,0
63,Male,Bachelor's,Divorced,117980.0,750.0,34913.0,Auto,Employed,14,Fair,0.31971398976598686,79180.0,4.0,Higginsport,IN,Myanmar,4.0,0,Alto,0
19,Male,PhD,Married,105783.0,649.0,34842.0,Home,Unemployed,14,Excellent,0.17893033032369363,169091.0,4.0,North Lisa,PW,Serbia,3.0,0,Alto,0
66,Male,Bachelor's,Divorced,79893.0,641.0,8341.0,Personal,Employed,5,Excellent,0.18669613995344989,213287.0,4.0,Amberfort,VI,Oman,4.0,0,Alto,0
66,Non-binary,Bachelor's,Divorced,21299.0,621.0,14131.0,Personal,Self-employed,17,Good,0.49520868499738513,272640.0,2.0,Karenborough,AL,Niger,2.0,0,Alto,0
65,Male,Bachelor's,Divorced,82713.0,658.0,15995.0,Home,Employed,2,Excellent,0.3335558835277427,77072.0,2.0,Erinchester,NJ,Andorra,1.0,2,Medio,2
59,Male,High School,Divorced,37373.0,743.0,12455.0,Home,Employed,9,Poor,0.3037330683816044,166261.0,2.0,Lake Kelsey,AL,Chile,1.0,1,Alto,0
47,Male,High School,Divorced,52577.0,625.0,33975.0,Home,Employed,7,Poor,0.25784038325147507,190682.0,2.0,Port Randalltown,VA,Korea,2.0,0,Medio,2
38,Non-binary,Master's,Single,52903.0,736.0,37009.0,Personal,Unemployed,19,Good,0.47293903087801403,291166.0,2.0,West Carla,TX,Portugal,0.0,0,Bajo,1
39,Female,Bachelor's,Widowed,36489.0,609.0,7961.0,Auto,Self-employed,9,Excellent,0.5914164314844833,181869.0,2.0,South Lisa,ID,Mayotte,4.0,2,Alto,0
23,Male,High School,Married,83853.0,712.0,11358.0,Business,Employed,7,Good,0.5871845353205143,166988.0,3.0,Lake Vincent,PR,Luxembourg,2.0,1,Bajo,1
38,Non-binary,PhD,Married,104614.0,648.0,40992.0,Home,Unemployed,2,Fair,0.3213510190971316,166986.0,3.0,New Shawnborough,HI,Guatemala,3.0,1,Alto,0
32,Male,Master's,Married,99211.0,631.0,44886.0,Personal,Unemployed,3,Fair,0.2213203159261484,123213.0,1.0,New Dylan,SD,Rwanda,4.0,1,Alto,0
58,Non-binary,High School,Divorced,82583.0,768.0,30366.0,Home,Self-employed,9,Poor,0.5762556025695863,119096.0,2.0,Lake Andrewmouth,PR,Algeria,4.0,0,Alto,0
18,Male,Master's,Widowed,84162.0,606.0,5015.0,Business,Self-employed,17,Poor,0.3890696709800946,275773.0,1.0,Amandamouth,KS,Cambodia,1.0,2,Medio,2
61,Female,Bachelor's,Single,25702.0,650.0,31654.0,Auto,Employed,15,Excellent,0.16125074516763307,149488.0,0.0,South Jessicafurt,WA,Christmas Island,1.0,2,Alto,0
21,Female,Bachelor's,Single,23582.0,736.0,19309.0,Personal,Unemployed,2,Good,0.46417234912862815,229415.0,4.0,West Jennifer,OK,Romania,3.0,2,Alto,0
27,Male,Master's,Single,114452.0,668.0,36683.0,Auto,Self-employed,2,Poor,0.3826329351968568,191602.0,4.0,Herrerastad,WA,French Guiana,0.0,2,Medio,2
33,Male,Bachelor's,Single,22170.0,686.0,44357.0,Personal,Self-employed,18,Good,0.34118846801030733,87943.0,4.0,South Justinshire,ID,Martinique,0.0,0,Alto,0
56,Non-binary,Master's,Married,35299.0,625.0,24860.0,Home,Employed,7,Poor,0.5744043630197596,229939.0,3.0,Lake Stephanieborough,OR,Oman,0.0,1,Alto,0
57,Female,High School,Divorced,59015.0,774.0,36334.0,Personal,Unemployed,16,Excellent,0.2637248161595017,50529.0,3.0,Walkermouth,PW,Singapore,0.0,2,Bajo,1
37,Non-binary,PhD,Single,74337.0,630.0,17919.0,Auto,Employed,5,Fair,0.5208137639095065,219321.0,4.0,Lindsaymouth,OK,Turkey,0.0,1,Medio,2
23,Non-binary,Bachelor's,Divorced,47684.0,742.0,42901.0,Home,Employed,16,Fair,0.27760870782544855,78032.0,4.0,Brownfurt,IL,Portugal,3.0,2,Alto,0
47,Male,Bachelor's,Married,111352.0,688.0,15044.0,Auto,Self-employed,3,Excellent,0.29015095489486775,283782.0,2.0,Thomaschester,ME,Sierra Leone,2.0,1,Bajo,1
48,Male,PhD,Widowed,106151.0,626.0,34164.0,Auto,Unemployed,10,Good,0.5997095382265867,22135.0,0.0,South Renee,SC,Kenya,2.0,2,Medio,2
24,Male,Bachelor's,Married,94667.0,768.0,26118.0,Home,Self-employed,13,Good,0.42626803212971065,104282.0,1.0,Vanessaton,HI,Papua New Guinea,2.0,0,Bajo,1
49,Female,High School,Divorced,49870.0,625.0,29285.0,Home,Self-employed,7,Poor,0.11020977501514975,187903.0,2.0,Wattsview,CT,Moldova,4.0,0,Alto,0
54,Female,Bachelor's,Married,74240.0,633.0,11854.0,Business,Unemployed,5,Good,0.3515349606334828,76783.0,1.0,Lake Natalie,FM,Poland,4.0,2,Alto,0
39,Female,Bachelor's,Divorced,81517.0,711.0,32838.0,Business,Employed,19,Fair,0.4378704920486223,148754.0,4.0,South Whitneyview,NY,Argentina,3.0,1,Alto,0
